filename,cluster
Blackmoon BMC whitepapers - whitepaper.io.txt.vec,0
BlackPearl Token BPLC whitepapers - whitepaper.io.txt.vec,0
Block Ape Scissors BAS whitepapers - whitepaper.io.txt.vec,0
Blockburn BURN whitepapers - whitepaper.io.txt.vec,0
BlockDag null whitepapers - whitepaper.io.txt.vec,0
Blockius BLOS whitepapers - whitepaper.io.txt.vec,0
BlockMason Credit Protocol BCPT whitepapers - whitepaper.io.txt.vec,0
Blocknet BLOCK whitepapers - whitepaper.io.txt.vec,-1
BlockNoteX BNOX whitepapers - whitepaper.io.txt.vec,0
Blockport BPT whitepapers - whitepaper.io.txt.vec,0
Blocksafe - Triggers TRIG whitepapers - whitepaper.io.txt.vec,0
Blockstack STX whitepapers - whitepaper.io.txt.vec,-1
Blocktix TIX whitepapers - whitepaper.io.txt.vec,0
BLOCKv VEE whitepapers - whitepaper.io.txt.vec,0
Bloom BLT whitepapers - whitepaper.io.txt.vec,0
Bloomify CHARGE whitepapers - whitepaper.io.txt.vec,0
Bloomify Static STATIC whitepapers - whitepaper.io.txt.vec,0
bloXmove Token BLXM whitepapers - whitepaper.io.txt.vec,0
Blue Baikal BBC whitepapers - whitepaper.io.txt.vec,-1
BlueArk BRK whitepapers - whitepaper.io.txt.vec,-1
Bluzelle BLZ whitepapers - whitepaper.io.txt.vec,-1
BLX BLX whitepapers - whitepaper.io.txt.vec,0
BnkToTheFuture BFT whitepapers - whitepaper.io.txt.vec,0
BNS Token BNS whitepapers - whitepaper.io.txt.vec,0
Bodhi BOT whitepapers - whitepaper.io.txt.vec,-1
Bogged BOG whitepapers - whitepaper.io.txt.vec,0
BollyCoin BOLLY whitepapers - whitepaper.io.txt.vec,0
BonusCloud BXC whitepapers - whitepaper.io.txt.vec,0
Boolberry BBR whitepapers - whitepaper.io.txt.vec,0
BORA BORA whitepapers - whitepaper.io.txt.vec,0
BOSAGORA BOA whitepapers - whitepaper.io.txt.vec,0
Bottos BTO whitepapers - whitepaper.io.txt.vec,0
botXcoin BOTX whitepapers - whitepaper.io.txt.vec,0
Bozkurt Token BT whitepapers - whitepaper.io.txt.vec,-1
BrahmaOS BRM whitepapers - whitepaper.io.txt.vec,0
Bread BRD whitepapers - whitepaper.io.txt.vec,0
Breezecoin BRZE whitepapers - whitepaper.io.txt.vec,0
Bridge Oracle BRG whitepapers - whitepaper.io.txt.vec,-1
Brother Music Platform BMP whitepapers - whitepaper.io.txt.vec,-1
BSClaunch BSL whitepapers - whitepaper.io.txt.vec,0
BTRIPS BTR whitepapers - whitepaper.io.txt.vec,0
BTS Chain BTSC whitepapers - whitepaper.io.txt.vec,0
BTU Protocol BTU whitepapers - whitepaper.io.txt.vec,0
BullPerks BLP whitepapers - whitepaper.io.txt.vec,0
Bulwark BWK whitepapers - whitepaper.io.txt.vec,0
Bunicorn BUNI whitepapers - whitepaper.io.txt.vec,0
BurningMoon BM whitepapers - whitepaper.io.txt.vec,0
Busy DAO BUSY whitepapers - whitepaper.io.txt.vec,0
Buying.com BUY whitepapers - whitepaper.io.txt.vec,0
Buzzshow GLDY whitepapers - whitepaper.io.txt.vec,0
Bytecoin BCN whitepapers - whitepaper.io.txt.vec,0
Bytom BTM whitepapers - whitepaper.io.txt.vec,0
Cajutel CAJ whitepapers - whitepaper.io.txt.vec,-1
Callisto Network CLO whitepapers - whitepaper.io.txt.vec,0
Camp CAMP whitepapers - whitepaper.io.txt.vec,-1
Canlead CAND whitepapers - whitepaper.io.txt.vec,0
CarBlock CAR whitepapers - whitepaper.io.txt.vec,0
Cardano ADA whitepapers - whitepaper.io.txt.vec,0
Carry CRE whitepapers - whitepaper.io.txt.vec,-1
Cartesi CTSI whitepapers - whitepaper.io.txt.vec,-1
CarVertical CV whitepapers - whitepaper.io.txt.vec,0
Cashaa CAS whitepapers - whitepaper.io.txt.vec,0
CasinoCoin CSC whitepapers - whitepaper.io.txt.vec,0
Caspian CSP whitepapers - whitepaper.io.txt.vec,0
